                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8334,                 4.3301,                 4.1417,                0.00494,                0.00727,                0.00096,                0.00024,                 3.9431,                 6.1825,                 4.2597,               0.070025,              0.0033306,              0.0033306
                      2,                 3.3739,                 3.7045,                 3.6004,                0.51155,                0.00792,                0.00194,                0.00047,                 3.7395,                 4.2946,                 3.6723,               0.040024,              0.0066635,              0.0066635
                      3,                 2.8417,                 3.2936,                 3.0147,                0.55782,                0.03361,                0.02316,                0.00762,                 2.9691,                 3.6517,                 2.9216,               0.010022,              0.0099948,              0.0099948
                      4,                 2.4409,                 2.9171,                 2.5725,                0.57297,                0.07128,                0.04657,                0.01758,                 2.6158,                  3.345,                 2.6252,              0.0099945,              0.0099945,              0.0099945
                      5,                 2.2362,                 2.6393,                  2.339,                0.83846,                0.07046,                0.05526,                0.02242,                 2.5405,                 3.2823,                 2.5495,              0.0099902,              0.0099902,              0.0099902
                      6,                  2.096,                 2.4844,                 2.2031,                0.74592,                0.09687,                0.09709,                0.04207,                 2.3913,                 2.9933,                 2.3976,              0.0099847,              0.0099847,              0.0099847
                      7,                 2.0005,                   2.35,                 2.0936,                0.73701,                0.11584,                0.12653,                0.06209,                 2.1974,                 2.7584,                 2.2453,               0.009978,               0.009978,               0.009978
                      8,                 1.9227,                 2.2411,                 2.0302,                0.68968,                0.14327,                0.13186,                0.06035,                 2.1693,                 2.7252,                  2.235,              0.0099701,              0.0099701,              0.0099701
                      9,                  1.854,                 2.1392,                 1.9579,                0.47899,                0.17346,                 0.1687,                0.08094,                 2.1856,                 2.6977,                 2.2917,               0.009961,               0.009961,               0.009961
                     10,                 1.7912,                 2.0438,                    1.9,                0.38831,                0.19381,                0.19949,                0.09878,                 2.0564,                 2.4957,                 2.1791,              0.0099506,              0.0099506,              0.0099506
                     11,                 1.7318,                 1.9693,                 1.8633,                0.40932,                0.18602,                0.18783,                0.09337,                 2.0361,                 2.4663,                  2.168,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.6943,                 1.8762,                 1.8143,                0.44331,                0.22729,                0.24314,                0.12744,                 1.8973,                 2.2467,                 2.0448,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.6245,                 1.8186,                 1.7669,                0.48585,                0.25295,                0.27126,                0.14528,                 1.8007,                 2.1019,                 1.9583,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.5865,                   1.74,                 1.7268,                0.39171,                0.31051,                0.29847,                0.16426,                 1.7222,                  1.915,                   1.88,              0.0098972,              0.0098972,              0.0098972
                     15,                 1.5464,                 1.6904,                 1.6906,                0.43224,                0.34364,                0.34012,                0.18839,                 1.6259,                 1.7652,                 1.7886,              0.0098808,              0.0098808,              0.0098808
                     16,                 1.5082,                  1.626,                  1.663,                0.46482,                0.33463,                0.34873,                0.19612,                 1.6442,                 1.7556,                 1.8057,              0.0098632,              0.0098632,              0.0098632
                     17,                  1.481,                 1.5808,                 1.6421,                 0.5222,                0.38079,                0.40432,                 0.2225,                 1.5665,                 1.6671,                 1.7254,              0.0098445,              0.0098445,              0.0098445
